Rank,Company Name,Revenue Cr,Revenue %CHG,PAT Cr,PAT %CHG,MCAP
253,Biocon Ltd.,5854.30,34.55,905.30,143.10,31464.30
254,Tube Investments of India Ltd.,5831.25,15.28,240.42,63.12,8409.78
255,GFL Ltd.,5815.10,44.46,1304.89,414.73,803.56
256,India Cements Ltd.,5809.60,9.79,21.06,-67.63,2534.59
257,Kothari Products Ltd.,5800.42,-9.08,123.57,123.25,180.16
258,Supreme Industries Ltd.,5701.34,13.84,448.63,3.91,14491.17
259,Aegis Logistics Ltd.,5624.01,17.18,221.39,11.92,6030.01
260,Housing and Urban Development Corporation Ltd.,5591.22,32.05,1179.85,16.83,8347.42
261,Sadbhav Engineering Ltd.,5558.84,9.14,21.13,LP,2143.07
262,Kansai Nerolac Paints Ltd.,5484.84,15.98,452.75,-11.98,28802.86
263,Balkrishna Industries Ltd.,5428.16,13.48,773.65,5.15,16617.42
264,Prestige Estates Projects Ltd.,5404.20,-3.15,415.60,11.93,11251.88
265,JK Cement Ltd.,5339.06,7.17,263.63,-8.96,8936.74
266,Sanwaria Consumer Ltd.,5317.80,4.96,156.06,84.27,152.37
267,L&T Technology Services Ltd.,5301.10,34.53,765.60,51.30,15202.09
268,Trident Ltd.,5292.26,14.50,371.77,39.68,3241.69
269,Blue Star Ltd.,5274.71,13.16,190.06,32.02,7678.99
270,Indiabulls Real Estate Ltd.,5226.92,10.46,504.15,-78.75,3146.40
271,GlaxoSmithKline Consumer Healthcare Ltd.,5214.61,14.01,982.80,40.38,37612.27
272,IIFL Finance Ltd.,5200.14,-19.58,690.69,-13.09,4556.18
273,The Ramco Cements Ltd.,5187.30,16.37,510.72,-9.48,18730.14
274,Network 18 Media & Investments Ltd.,5158.34,163.99,-302.97,LL,2690.90
275,Suzlon Energy Ltd.,5143.98,-40.50,-1527.18,LL,1364.78
276,Oracle Financial Services Software Ltd.,5134.99,11.19,1385.90,12.03,26126.78
277,Varun Beverages Ltd.,5130.10,27.70,292.84,39.35,20699.87
278,Sterlite Technologies Ltd.,5124.12,59.31,562.75,68.32,5123.76
279,ISGEC Heavy Engineering Ltd.,5119.42,33.03,142.76,-9.23,2852.00
280,Divi's Laboratories Ltd.,5101.89,27.39,1352.74,54.24,46093.27
281,Coffee Day Enterprises Ltd.,5052.86,13.73,127.51,20.00,944.08
282,Fortis Healthcare Ltd.,5038.17,3.90,-298.94,LL,11047.14
283,TV18 Broadcast Ltd.,5013.89,218.68,166.90,1620.62,4036.01
284,Ircon International Ltd.,5007.68,18.86,450.07,10.13,3966.61
285,Ashoka Buildcon Ltd.,5007.22,34.90,-33.46,LL,2687.12
286,Paul Merchants Ltd.,4929.89,3.70,22.08,-89.66,118.26
287,Hinduja Global Solutions Ltd.,4861.18,25.11,177.18,-11.68,1255.65
288,HFCL Ltd.,4784.75,47.08,219.91,31.00,2220.41
289,Hatsun Agro Products Ltd.,4766.35,10.96,114.85,26.43,9540.22
290,Cyient Ltd.,4752.00,16.88,478.50,18.03,4372.09
291,Polyplex Corporation Ltd.,4733.43,30.88,330.03,106.98,1560.21
292,Shree Renuka Sugars Ltd.,4717.60,-39.64,-1448.37,LL,1678.92
293,Aarti Industries Ltd.,4707.61,23.44,491.73,47.68,14449.29
294,Hexaware Technologies Ltd.,4705.62,17.91,583.46,16.80,10104.29
295,Schaeffler India Ltd.,4652.31,16.30,419.80,8.06,13400.72
296,Arvind Fashions Ltd.,4647.99,9.85,16.61,14.79,2260.62
297,Indian Hotels Company Ltd.,4643.62,10.80,286.82,184.35,17954.59
298,Sundram Fasteners Ltd.,4584.70,18.22,457.49,18.35,9810.36
299,Gokul Agro Resources Ltd.,4555.74,-10.17,10.88,-29.62,175.68
300,Colgate-Palmolive (India) Ltd.,4530.59,7.22,775.57,15.18,41745.40
301,Crompton Greaves Consumer Electricals Ltd.,4526.92,10.13,401.38,23.96,15986.33
302,Bombay Dyeing & Manufacturing Company Ltd.,4479.45,65.03,1241.72,3429.62,1683.33
303,TeamLease Services Ltd.,4465.66,22.69,98.03,33.45,4462.46
304,HCL Infosystems Ltd.,4454.86,20.55,-135.20,LL,274.52
305,Tamil Nadu Newsprint And Papers Ltd.,4431.63,31.40,94.39,LP,1277.67
306,CESC Ventures Ltd.,4392.57,119.02,64.17,-15.07,849.12
307,GVK Power & Infrastructure Ltd.,4388.61,-9.84,-363.49,LL,739.86
308,JK Lakshmi Cement Ltd.,4378.06,14.61,51.25,-7.22,3460.29
309,Sakuma Exports Ltd.,4370.22,-4.09,69.83,42.48,147.54
310,Balrampur Chini Mills Ltd.,4335.28,-1.09,575.82,148.56,3297.80
311,Atul Ltd.,4304.86,21.47,432.23,56.33,12230.34
312,Kesoram Industries Ltd.,4290.42,6.39,-363.32,LL,754.05
313,City Union Bank Ltd.,4281.56,8.82,682.85,15.35,15716.85
314,GE T&D India Ltd.,4277.12,-6.45,212.67,1.87,4467.62
315,Sundaram Finance Ltd.,4254.10,-32.94,1160.85,59.04,17996.67
316,Jayaswal Neco Industries Ltd.,4243.94,20.94,-443.87,LL,233.39
317,KEI Industries Ltd.,4238.17,21.97,180.86,24.94,4282.15
318,Century Textiles & Industries Ltd.,4214.27,4.43,668.67,79.91,4766.80
319,Wockhardt Ltd.,4179.40,3.01,-194.53,LL,3071.35
320,Manappuram Finance Ltd.,4178.84,20.11,922.41,36.21,13846.71
321,KRBL Ltd.,4135.64,26.72,503.02,15.79,4817.23
322,Zensar Technologies Ltd.,4059.01,27.56,313.59,29.83,4244.84
323,Jaiprakash Power Ventures Ltd.,4057.49,-22.43,-373.44,LL,658.66
324,Electrotherm (India) Ltd.,4054.74,38.09,141.85,4692.23,174.54
325,Gujarat Ambuja Exports Ltd.,4033.08,19.55,198.15,10.16,1627.66
326,Sun TV Network Ltd.,4025.06,28.67,1433.27,26.27,19712.77
327,Shipping Corporation of India Ltd.,4021.51,9.57,-62.66,PL,2824.96
328,Castrol India Ltd.,3988.86,8.75,708.36,2.39,14637.25
329,Prakash Industries Ltd.,3977.64,34.85,539.22,39.60,836.95
330,Alembic Pharmaceuticals Ltd.,3944.06,25.69,584.37,41.62,10635.36
331,LT Foods Ltd.,3914.53,7.25,126.53,-6.04,755.85
332,Future Consumer Ltd.,3912.26,28.70,-6.39,LL,4765.64
333,Mahindra Logistics Ltd.,3858.97,12.77,85.64,33.79,2786.98
334,Firstsource Solutions Ltd.,3830.17,8.18,377.79,15.70,2973.88
335,Great Eastern Shipping Company Ltd.,3829.89,21.95,-21.45,LL,4558.80
336,PNC Infratech Ltd.,3821.68,56.90,351.37,44.59,4699.10
337,Ipca Laboratories Ltd.,3803.37,15.27,444.83,85.79,13818.21
338,Jindal Poly Films Ltd.,3799.12,-43.13,-408.65,PL,985.80
339,Abbott India Ltd.,3791.89,11.02,450.33,12.24,25953.12
340,Sadbhav Infrastructure Project Ltd.,3783.43,62.90,-245.27,LL,1435.87
341,Mukand Ltd.,3768.46,-21.30,-115.48,PL,455.80
342,Force Motors Ltd.,3734.07,6.94,143.33,-2.58,1397.54
343,NIIT Technologies Ltd.,3729.70,23.07,403.30,43.93,9501.64
344,Kirloskar Oil Engines Ltd.,3693.14,18.10,219.17,56.86,2377.84
345,Jubilant Foodworks Ltd.,3610.50,18.71,319.79,62.97,21114.14
346,Shoppers Stop Ltd.,3596.58,-8.47,64.97,-73.40,3169.22
347,JM Financial Ltd.,3578.65,15.57,572.18,-4.77,7481.80
348,Time Technoplast Ltd.,3566.95,14.88,202.74,12.41,1334.73
349,Phillips Carbon Black Ltd.,3548.49,37.18,383.70,67.67,2146.32
350,Avanti Feeds Ltd.,3547.05,3.04,273.63,-38.71,6961.22
351,JK Paper Ltd.,3542.26,13.89,427.28,63.97,2066.34
352,Sobha Ltd.,3515.55,24.11,296.99,36.94,3877.80
353,BEML Ltd.,3497.49,7.15,63.18,-51.28,4067.51
354,Gayatri Projects Ltd.,3472.16,18.96,160.10,LP,1676.61
355,Persistent Systems Ltd.,3453.60,9.54,351.68,8.85,4939.80
